year,countyID,tractID,pop40
1940,189,1,3426
1940,189,2,2841
1940,189,3,1119
1940,189,4,2126
1940,189,5,1369
1940,189,6,2008
1940,189,7,4643
1940,189,8,169
1940,189,9,4762
1940,189,10,2326
1940,189,11,3398
1940,189,12,719
1940,189,13,4409
1940,189,14,6062
1940,189,15,6576
1940,189,16,7973
1940,189,17,2987
1940,189,18,3991
1940,189,19,2420
1940,189,20,1941
1940,189,21,1881
1940,189,22,2174
1940,189,23,5649
1940,189,24,1642
1940,189,25,2699
1940,189,26,4000
1940,189,27,3520
1940,189,28,1995
1940,189,29,2384
1940,189,30,6151
1940,189,31,2881
1940,189,32,3210
1940,189,33,10740
1940,189,34,8688
1940,189,35,4617
1940,189,36,1121
1940,189,37,4647
1940,189,38,987
1940,189,39,1291
1940,189,40,1546
1940,189,41,1931
1940,189,42,1271
1940,189,43,2710
1940,189,44,2293
1940,189,45,6578
1940,189,46,4198
1940,189,47,73
1940,189,48,5616
1940,189,49,5520
1940,189,50,1666
1940,189,51,4390
1940,189,52,2461
1940,189,53,4128
1940,189,54,4814
1940,189,55,1472
1940,189,56,2182
1940,189,57,5318
1940,189,58,2889
1940,189,59,2998
1940,189,60,3543
1940,189,61,3646
1940,189,62,1013
1940,189,63,1821
1940,189,64,153
1940,189,65,2526
1940,189,66,168
1940,189,67,1572
1940,189,68,2477
1940,189,69,1797
1940,189,70,1837
1940,189,71,3461
1940,189,72,988
1940,189,73,1910
1940,189,74,1863
1940,189,75,2439
1940,189,76,2091
1940,189,77,3660
1940,189,78,789
1940,189,79,1791
1940,189,80,1103
1940,189,81,5066
1940,189,82,2494
1940,189,83,1888
1940,189,84,1910
1940,189,85,4439
1940,189,86,3280
1940,189,87,9217
1940,189,88,765
1940,510,1A,1169
1940,510,1B,1714
1940,510,1C,6229
1940,510,1D,4856
1940,510,1E,5583
1940,510,1F,2645
1940,510,1G,5814
1940,510,2A,2442
1940,510,2B,6660
1940,510,2C,1400
1940,510,2D,3582
1940,510,2E,2500
1940,510,3A,1424
1940,510,3B,3589
1940,510,3C,1302
1940,510,3D,3434
1940,510,3E,1285
1940,510,3F,1849
1940,510,3G,4092
1940,510,4A,4038
1940,510,4B,5602
1940,510,4C,3603
1940,510,4D,678
1940,510,5A,4993
1940,510,5B,7402
1940,510,5C,7712
1940,510,5D,7008
1940,510,5E,9253
1940,510,6A,10995
1940,510,6B,6288
1940,510,6C,8442
1940,510,6D,7243
1940,510,6E,8373
1940,510,6F,8448
1940,510,6G,8183
1940,510,7A,809
1940,510,7B,3541
1940,510,7C,5512
1940,510,7D,6852
1940,510,7E,6444
1940,510,7F,4319
1940,510,7G,6803
1940,510,8A,3768
1940,510,8B,2025
1940,510,8C,1801
1940,510,8D,944
1940,510,8E,1496
1940,510,8F,299
1940,510,9A,6246
1940,510,9B,997
1940,510,9C,5989
1940,510,9D,3698
1940,510,9E,5170
1940,510,10A,7624
1940,510,10B,7062
1940,510,10C,8505
1940,510,10D,6900
1940,510,10E,6933
1940,510,11A,13686
1940,510,11B,10803
1940,510,11C,10508
1940,510,11D,8830
1940,510,11E,8903
1940,510,12A,8989
1940,510,12B,7948
1940,510,12C,8843
1940,510,12D,8110
1940,510,13A,8323
1940,510,13B,3602
1940,510,13C,2094
1940,510,13D,1819
1940,510,14A,8925
1940,510,14B,3267
1940,510,14C,8128
1940,510,15A,5325
1940,510,15B,3890
1940,510,15C,6618
1940,510,15D,4517
1940,510,15E,9469
1940,510,15F,8379
1940,510,15G,6331
1940,510,16A,4164
1940,510,16B,8275
1940,510,16C,9883
1940,510,16D,8847
1940,510,16E,8097
1940,510,17A,4175
1940,510,17B,14429
1940,510,17C,10056
1940,510,17D,8489
1940,510,18A,6868
1940,510,18B,8165
1940,510,18C,1928
1940,510,18D,4287
1940,510,18E,6820
1940,510,19A,10267
1940,510,19B,8236
1940,510,19C,8831
1940,510,20A,7273
1940,510,20B,5604
1940,510,20C,13114
1940,510,21A,10341
1940,510,21B,12015
1940,510,21C,14874
1940,510,21D,6554
1940,510,22A,10036
1940,510,22B,5799
1940,510,22C,972
1940,510,22D,9578
1940,510,23A,12475
1940,510,23B,11355
1940,510,23C,9923
1940,510,23D,17865
1940,510,23E,8050
1940,510,24A,10453
1940,510,24B,7981
1940,510,24C,11296
1940,510,24D,2538
1940,510,24E,3595
1940,510,25A,2891
1940,510,25B,10939
1940,510,25C,3165
1940,510,25D,1055
1940,510,26A,11689
1940,510,26B,4303
1940,510,26C,7267
1940,510,26D,5535
1940,510,26E,4822
