GEOID,NAME,pop10,pop11,pop11_m,pop12,pop12_m,pop13,pop13_m,pop14,pop14_m,pop15,pop15_m,pop16,pop16_m,pop17,pop17_m
29510111400,"Census Tract 1114, St. Louis city, Missouri",1643,1484,394,1481,525,1313,352,1356,321,1396,379,1358,331,1495,312
29510111500,"Census Tract 1115, St. Louis city, Missouri",1010,911,291,955,183,932,148,706,103,620,94,694,89,617,116
29510112100,"Census Tract 1121, St. Louis city, Missouri",4285,4327,362,4303,396,4376,464,3999,478,4432,508,4556,456,4253,468
29510112200,"Census Tract 1122, St. Louis city, Missouri",1586,1663,371,1889,422,1833,346,1629,257,1645,238,1632,294,1363,212
29510112300,"Census Tract 1123, St. Louis city, Missouri",2415,2515,467,2535,484,2372,446,2489,415,2038,409,1820,368,1888,429
29510112400,"Census Tract 1124, St. Louis city, Missouri",4023,4000,465,3976,376,4102,462,4221,437,4132,336,4006,377,3933,399
29510113500,"Census Tract 1135, St. Louis city, Missouri",2331,2080,190,2104,185,2169,182,2208,171,2231,164,2205,194,2389,198
29510114101,"Census Tract 1141.01, St. Louis city, Missouri",4281,4497,622,4515,667,4468,502,4367,479,4334,424,4307,384,4162,419
29510114102,"Census Tract 1141.02, St. Louis city, Missouri",4128,4313,292,4200,299,4150,302,4141,296,4002,264,4282,297,4378,350
29510114200,"Census Tract 1142, St. Louis city, Missouri",4721,4345,325,4667,302,4598,515,4551,442,4724,391,4721,372,4561,353
29510114300,"Census Tract 1143, St. Louis city, Missouri",5485,5481,439,5317,434,5502,411,5293,405,5300,386,5162,308,4995,298
29510115100,"Census Tract 1151, St. Louis city, Missouri",4287,4154,361,3987,377,4028,402,4156,464,4226,444,4177,359,4519,363
29510115200,"Census Tract 1152, St. Louis city, Missouri",3149,2788,394,3155,419,3035,361,3160,439,3348,379,3370,372,3294,359
29510115300,"Census Tract 1153, St. Louis city, Missouri",4958,5333,473,5204,455,5038,475,5246,544,5248,538,5167,598,5171,634
29510115400,"Census Tract 1154, St. Louis city, Missouri",3122,3043,315,3018,296,3113,329,3225,348,3185,390,3312,411,3441,394
29510115500,"Census Tract 1155, St. Louis city, Missouri",5625,5906,878,5706,986,6070,1032,6233,895,7069,832,6446,837,6929,1060
29510115600,"Census Tract 1156, St. Louis city, Missouri",5279,5401,739,6006,713,5228,700,5084,648,4815,585,4813,615,4383,626
