NHD_NUM,NHD_NAME,pop10,pop11,pop11_m,pop12,pop12_m,pop13,pop13_m,pop14,pop14_m,pop15,pop15_m,pop16,pop16_m,pop17,pop17_m
43,Franz Park,1388.1900772700028,1353.188726470621,165.4826190800693,1316.8432581818959,104.95772283770526,1432.1014442653063,113.44662556593183,1345.3564126515466,103.25881401750009,1312.2657699239412,87.3807650194254,1268.6342343047534,98.75730853362309,1320.0615026991768,98.95158437777353
29,Tiffany,960.8904416513813,853.379860993785,108.63783615496166,848.2733745452491,95.6865039594903,910.6549375942894,104.298253531097,871.2168792393123,86.27827867387884,899.5513040728581,79.67120301764088,932.002611251103,98.75394912736999,964.064055095428,95.69519557256254
28,Botanical Heights,1698.170233312407,1557.9083496336339,239.94759882494915,1532.1931588474965,208.3155956875224,1636.2023888205574,213.90502873402957,1610.8335584350677,215.82886875869386,1647.9522860371956,213.09031788961894,1625.7582566765216,234.806554812719,1644.5030327003983,243.21966732548796
40,Kings Oak,413.22123993754025,417.2505200478859,51.00846841317495,373.2268114626758,56.82397816976001,344.4142792378449,34.49063377506983,303.45848428792027,50.80486123614976,357.60739440761563,58.63073462861312,377.292184551867,54.82319371310142,445.3925319282899,50.356251143328535
41,Cheltenham,811.848118710405,819.7643577854241,100.22533856055412,733.2460271271045,111.65252994765683,676.6164311467808,67.75677464776857,596.1484975281124,99.8182792361364,702.5415141629901,115.19667500540241,741.2206301132459,107.71681551346911,875.0762402238611,98.9372218835493
42,Clayton-Tamm,1695.6348684014456,1803.465904486109,160.63783057617633,1778.0971128325841,165.9186422871053,1764.1994846178543,142.3012326622342,1667.1083129640417,163.99492620550075,1643.6496527003442,168.72930410161914,1611.2044174252185,151.07568849198844,1693.7077342187001,139.47323713855886
39,Forest Park South East,1813.206490748621,1715.53461981821,303.9575704456003,1669.679642839138,249.2768833056378,1748.1109506030132,220.371912743551,1740.6962271762718,243.58076081448502,1845.7387195906706,232.51807474295856,1949.3823637118487,249.17008191786914,2035.30585646129,275.74180195709704
44,Hi-Pointe,2150.5056321268657,2331.4081535818946,179.92597279417973,2375.8726523264677,176.99563359832027,2410.6465075710034,180.8643263095865,2322.515816551684,185.83048801484748,2171.398451805774,178.1592724155504,2074.258853673905,154.95493302209684,2081.377044602151,143.61035804141406
36,Downtown West,5582.376816563072,4483.362610190817,607.0036182500106,5255.078947218266,617.048818433076,5582.890242731791,609.2930236166742,5785.7115665685615,677.2110598242849,5957.416203838689,626.0230091027378,6132.198593649941,637.8603697147535,6301.476017705885,730.1393366308652
37,Midtown,4940.074104069017,4799.697284226179,848.4622288530584,5016.4404016339995,858.9297077281243,5040.999641305765,841.5362673292051,4957.155321226867,858.8741440945006,5169.088206883685,769.4286701033186,5058.348415990246,741.6286976892278,5187.8041521464575,806.5667568531038
