year,countyID,tractID,white,black,other
1950,510,1A,1243,0,0
1950,510,1B,1876,0,0
1950,510,1C,6460,1,0
1950,510,1D,4860,182,1
1950,510,1E,5342,15,0
1950,510,1F,2341,73,1
1950,510,1G,5609,258,0
1950,510,2A,3167,0,0
1950,510,2B,7188,1,1
1950,510,2C,1367,1,2
1950,510,2D,3492,2,0
1950,510,2E,2413,2,1
1950,510,3A,3671,1,3
1950,510,3B,5006,1,1
1950,510,3C,1320,0,0
1950,510,3D,3531,0,1
1950,510,3E,1374,5,0
1950,510,3F,1990,2,0
1950,510,3G,4276,1,2
1950,510,4A,4509,2,4
1950,510,4B,6628,7,6
1950,510,4C,3812,45,0
1950,510,4D,693,0,0
1950,510,5A,5202,22,1
1950,510,5B,7119,55,0
1950,510,5C,8281,206,10
1950,510,5D,7136,102,4
1950,510,5E,10373,33,42
1950,510,6A,10392,18,5
1950,510,6B,6130,1,2
1950,510,6C,8636,0,0
1950,510,6D,6992,237,8
1950,510,6E,8209,27,9
1950,510,6F,7262,1027,6
1950,510,6G,6281,2350,2
1950,510,7A,1103,2,2
1950,510,7B,3811,5,2
1950,510,7C,6369,2,0
1950,510,7D,6709,2,0
1950,510,7E,6131,3,0
1950,510,7F,4326,6,0
1950,510,7G,6783,2,0
1950,510,8A,4527,2,0
1950,510,8B,2795,2,1
1950,510,8C,2895,0,0
1950,510,8D,1017,7,0
1950,510,8E,1500,125,0
1950,510,8F,279,14,0
1950,510,9A,6068,7,0
1950,510,9B,791,46,0
1950,510,9C,5436,62,2
1950,510,9D,3500,22,0
1950,510,9E,4939,26,0
1950,510,10A,6811,594,11
1950,510,10B,6665,29,0
1950,510,10C,5636,2699,2
1950,510,10D,6723,13,3
1950,510,10E,6705,1,0
1950,510,11A,182,13549,6
1950,510,11B,1475,9611,4
1950,510,11C,531,10028,3
1950,510,11D,4823,4909,2
1950,510,11E,5437,4222,0
1950,510,12A,9260,164,47
1950,510,12B,8463,184,33
1950,510,12C,2489,7382,6
1950,510,12D,8363,656,28
1950,510,13A,7738,711,3
1950,510,13B,3339,0,0
1950,510,13C,1975,39,0
1950,510,13D,1938,0,0
1950,510,14A,11946,7,1
1950,510,14B,5668,4,6
1950,510,14C,8213,3,1
1950,510,15A,5171,0,0
1950,510,15B,3973,4,1
1950,510,15C,6660,5,1
1950,510,15D,4318,4,0
1950,510,15E,9182,20,1
1950,510,15F,8227,297,3
1950,510,15G,6085,12,0
1950,510,16A,4620,4,0
1950,510,16B,8262,6,0
1950,510,16C,10147,6,2
1950,510,16D,8393,3,1
1950,510,16E,7652,14,1
1950,510,17A,4195,3,0
1950,510,17B,14618,16,2
1950,510,17C,10307,19,13
1950,510,17D,8871,33,3
1950,510,18A,5866,12,4
1950,510,18B,7685,276,3
1950,510,18C,1545,288,28
1950,510,18D,104,4370,1
1950,510,18E,3120,4054,9
1950,510,19A,11817,58,43
1950,510,19B,5367,4641,60
1950,510,19C,8767,1436,64
1950,510,20A,3617,4729,1
1950,510,20B,5475,21,0
1950,510,20C,12922,278,0
1950,510,21A,593,11038,17
1950,510,21B,390,13824,19
1950,510,21C,2058,15240,9
1950,510,21D,995,6696,12
1950,510,22A,4442,7736,8
1950,510,22B,567,5457,4
1950,510,22C,792,318,0
1950,510,22D,11088,304,10
1950,510,23A,12865,9,4
1950,510,23B,12514,6,10
1950,510,23C,9915,3,11
1950,510,23D,18317,157,18
1950,510,23E,5138,1041,14
1950,510,24A,10037,3,0
1950,510,24B,7739,1,3
1950,510,24C,11719,5,5
1950,510,24D,2797,5,6
1950,510,24E,3985,13,2
1950,510,25A,1983,1097,2
1950,510,25B,2648,9121,3
1950,510,25C,2866,13,3
1950,510,25D,885,16,0
1950,510,26A,11629,194,2
1950,510,26B,3866,954,0
1950,510,26C,7275,83,0
1950,510,26D,5740,1,3
1950,510,26E,4999,5,1
