Geo_Name,Geo_QName,Geo_SUMLEV,Geo_FIPS,Geo_State,Geo_tractcd,Geo_NHGISST,Geo_NHGISCTY,Geo_GISJOIN,Geo_GISJoin2,Geo_DECADE,Geo_state60,Geo_county60,Geo_Supp_trc_pcs_count,Geo_SuppFP_1,Geo_SuppFP_2,Geo_SuppFP_3,Geo_SuppFP_4,Geo_SuppFP_5,Geo_Supp1,Geo_Supp2,Geo_Supp3,Geo_Supp4,Geo_Supp5,SE_T001_001
"Census Tract 0010E000","Census Tract 0010E000, St Louis City County, Missouri","140","2951000010E000","29","000001000E","290","5100","G29051000010E","29051000010E","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,5905
"Census Tract 0011A000","Census Tract 0011A000, St Louis City County, Missouri","140","2951000011A000","29","000001100A","290","5100","G29051000011A","29051000011A","1960","43","096",1,0,0,0,0,0,0,0,0,0,0,12159
"Census Tract 0011B000","Census Tract 0011B000, St Louis City County, Missouri","140","2951000011B000","29","000001100B","290","5100","G29051000011B","29051000011B","1960","43","096",1,0,0,0,0,0,0,0,0,0,0,9546
"Census Tract 0011C000","Census Tract 0011C000, St Louis City County, Missouri","140","2951000011C000","29","000001100C","290","5100","G29051000011C","29051000011C","1960","43","096",1,0,0,0,0,0,0,0,0,0,0,9025
"Census Tract 0011D000","Census Tract 0011D000, St Louis City County, Missouri","140","2951000011D000","29","000001100D","290","5100","G29051000011D","29051000011D","1960","43","096",1,0,0,0,0,0,0,0,0,0,0,9587
"Census Tract 0011E000","Census Tract 0011E000, St Louis City County, Missouri","140","2951000011E000","29","000001100E","290","5100","G29051000011E","29051000011E","1960","43","096",1,0,0,0,0,0,0,0,0,0,0,8556
"Census Tract 0012A000","Census Tract 0012A000, St Louis City County, Missouri","140","2951000012A000","29","000001200A","290","5100","G29051000012A","29051000012A","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,8277
"Census Tract 0012B000","Census Tract 0012B000, St Louis City County, Missouri","140","2951000012B000","29","000001200B","290","5100","G29051000012B","29051000012B","1960","43","096",1,0,0,0,0,0,0,0,0,0,0,7872
"Census Tract 0012C000","Census Tract 0012C000, St Louis City County, Missouri","140","2951000012C000","29","000001200C","290","5100","G29051000012C","29051000012C","1960","43","096",1,0,0,0,0,0,0,0,0,0,0,7920
"Census Tract 0012D000","Census Tract 0012D000, St Louis City County, Missouri","140","2951000012D000","29","000001200D","290","5100","G29051000012D","29051000012D","1960","43","096",1,0,0,0,0,0,0,0,0,0,0,7242
"Census Tract 0013A000","Census Tract 0013A000, St Louis City County, Missouri","140","2951000013A000","29","000001300A","290","5100","G29051000013A","29051000013A","1960","43","096",1,0,0,0,0,0,0,0,0,0,0,9073
