Geo_NAME,Geo_QName,Geo_FIPS,Geo_SUMLEV,Geo_GEOCOMP,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUNTYSC,Geo_COUSUB,Geo_TRACT,SE_T001_001
"Census Tract 1156","Census Tract 1156, St. Louis city, Missouri","29510115600","140","00","43","29","510","19",,"115600",5587
"Census Tract 1157","Census Tract 1157, St. Louis city, Missouri","29510115700","140","00","43","29","510","19",,"115700",3851
"Census Tract 1161","Census Tract 1161, St. Louis city, Missouri","29510116100","140","00","43","29","510","19",,"116100",3456
"Census Tract 1162","Census Tract 1162, St. Louis city, Missouri","29510116200","140","00","43","29","510","19",,"116200",5165
"Census Tract 1163","Census Tract 1163, St. Louis city, Missouri","29510116300","140","00","43","29","510","19",,"116300",6295
"Census Tract 1164","Census Tract 1164, St. Louis city, Missouri","29510116400","140","00","43","29","510","19",,"116400",5255
"Census Tract 1165","Census Tract 1165, St. Louis city, Missouri","29510116500","140","00","43","29","510","19",,"116500",4687
"Census Tract 1171","Census Tract 1171, St. Louis city, Missouri","29510117100","140","00","43","29","510","19",,"117100",1777
"Census Tract 1172","Census Tract 1172, St. Louis city, Missouri","29510117200","140","00","43","29","510","19",,"117200",6795
"Census Tract 1173","Census Tract 1173, St. Louis city, Missouri","29510117300","140","00","43","29","510","19",,"117300",3177
"Census Tract 1174","Census Tract 1174, St. Louis city, Missouri","29510117400","140","00","43","29","510","19",,"117400",5061
"Census Tract 1181","Census Tract 1181, St. Louis city, Missouri","29510118100","140","00","43","29","510","19",,"118100",2010
"Census Tract 1184","Census Tract 1184, St. Louis city, Missouri","29510118400","140","00","43","29","510","19",,"118400",1507
"Census Tract 1185","Census Tract 1185, St. Louis city, Missouri","29510118500","140","00","43","29","510","19",,"118500",1006
"Census Tract 1186","Census Tract 1186, St. Louis city, Missouri","29510118600","140","00","43","29","510","19",,"118600",2960
"Census Tract 1191","Census Tract 1191, St. Louis city, Missouri","29510119100","140","00","43","29","510","19",,"119100",6479
"Census Tract 1192","Census Tract 1192, St. Louis city, Missouri","29510119200","140","00","43","29","510","19",,"119200",1621
"Census Tract 1193","Census Tract 1193, St. Louis city, Missouri","29510119300","140","00","43","29","510","19",,"119300",3620
"Census Tract 1201","Census Tract 1201, St. Louis city, Missouri","29510120100","140","00","43","29","510","19",,"120100",865
"Census Tract 1202","Census Tract 1202, St. Louis city, Missouri","29510120200","140","00","43","29","510","19",,"120200",1419
"Census Tract 1203","Census Tract 1203, St. Louis city, Missouri","29510120300","140","00","43","29","510","19",,"120300",1680
"Census Tract 1211","Census Tract 1211, St. Louis city, Missouri","29510121100","140","00","43","29","510","19",,"121100",1392
"Census Tract 1212","Census Tract 1212, St. Louis city, Missouri","29510121200","140","00","43","29","510","19",,"121200",2406
"Census Tract 1213","Census Tract 1213, St. Louis city, Missouri","29510121300","140","00","43","29","510","19",,"121300",1050
"Census Tract 1214","Census Tract 1214, St. Louis city, Missouri","29510121400","140","00","43","29","510","19",,"121400",122
"Census Tract 1221","Census Tract 1221, St. Louis city, Missouri","29510122100","140","00","43","29","510","19",,"122100",1625
"Census Tract 1222","Census Tract 1222, St. Louis city, Missouri","29510122200","140","00","43","29","510","19",,"122200",7
"Census Tract 1224","Census Tract 1224, St. Louis city, Missouri","29510122400","140","00","43","29","510","19",,"122400",2416
"Census Tract 1231","Census Tract 1231, St. Louis city, Missouri","29510123100","140","00","43","29","510","19",,"123100",3898
"Census Tract 1232","Census Tract 1232, St. Louis city, Missouri","29510123200","140","00","43","29","510","19",,"123200",2048
"Census Tract 1233","Census Tract 1233, St. Louis city, Missouri","29510123300","140","00","43","29","510","19",,"123300",3057
"Census Tract 1234","Census Tract 1234, St. Louis city, Missouri","29510123400","140","00","43","29","510","19",,"123400",2950
"Census Tract 1235","Census Tract 1235, St. Louis city, Missouri","29510123500","140","00","43","29","510","19",,"123500",0
"Census Tract 1241","Census Tract 1241, St. Louis city, Missouri","29510124100","140","00","43","29","510","19",,"124100",5264
"Census Tract 1242","Census Tract 1242, St. Louis city, Missouri","29510124200","140","00","43","29","510","19",,"124200",4134
"Census Tract 1243","Census Tract 1243, St. Louis city, Missouri","29510124300","140","00","43","29","510","19",,"124300",3627
"Census Tract 1246","Census Tract 1246, St. Louis city, Missouri","29510124600","140","00","43","29","510","19",,"124600",1913
"Census Tract 1255","Census Tract 1255, St. Louis city, Missouri","29510125500","140","00","43","29","510","19",,"125500",2125
"Census Tract 1256","Census Tract 1256, St. Louis city, Missouri","29510125600","140","00","43","29","510","19",,"125600",1260
"Census Tract 1257","Census Tract 1257, St. Louis city, Missouri","29510125700","140","00","43","29","510","19",,"125700",2947
"Census Tract 1266","Census Tract 1266, St. Louis city, Missouri","29510126600","140","00","43","29","510","19",,"126600",2944
"Census Tract 1267","Census Tract 1267, St. Louis city, Missouri","29510126700","140","00","43","29","510","19",,"126700",1997
