Geo_Name,Geo_QName,Geo_GISJOIN,Geo_GISJOIN2,Geo_SUMLEV,Geo_shape_area,Geo_FIPS,Geo_STATE,Geo_COUNTY,Geo_TRACT6,SE_T001_001
"Census Tract 1191","Census Tract 1191, St. Louis City, Missouri","G2905100119100","2905100119100","50",0.42532658904214,"29510119100","29","510","119100",6303
"Census Tract 1192","Census Tract 1192, St. Louis City, Missouri","G2905100119200","2905100119200","50",0.28858169293642,"29510119200","29","510","119200",2624
"Census Tract 1193","Census Tract 1193, St. Louis City, Missouri","G2905100119300","2905100119300","50",0.45807090146564,"29510119300","29","510","119300",3829
"Census Tract 1201","Census Tract 1201, St. Louis City, Missouri","G2905100120100","2905100120100","50",0.24577490310525,"29510120100","29","510","120100",2040
"Census Tract 1202","Census Tract 1202, St. Louis City, Missouri","G2905100120200","2905100120200","50",0.22176432073504,"29510120200","29","510","120200",2193
"Census Tract 1203","Census Tract 1203, St. Louis City, Missouri","G2905100120300","2905100120300","50",0.41867662949464,"29510120300","29","510","120300",3240
"Census Tract 1211","Census Tract 1211, St. Louis City, Missouri","G2905100121100","2905100121100","50",0.43174127728138,"29510121100","29","510","121100",4806
"Census Tract 1212","Census Tract 1212, St. Louis City, Missouri","G2905100121200","2905100121200","50",0.33430187019198,"29510121200","29","510","121200",3989
"Census Tract 1213","Census Tract 1213, St. Louis City, Missouri","G2905100121300","2905100121300","50",0.35536873375067,"29510121300","29","510","121300",2702
"Census Tract 1214","Census Tract 1214, St. Louis City, Missouri","G2905100121400","2905100121400","50",0.33603978145328,"29510121400","29","510","121400",344
"Census Tract 1221","Census Tract 1221, St. Louis City, Missouri","G2905100122100","2905100122100","50",0.28035627099577,"29510122100","29","510","122100",1469
"Census Tract 1222","Census Tract 1222, St. Louis City, Missouri","G2905100122200","2905100122200","50",0.69151606755445,"29510122200","29","510","122200",106
"Census Tract 1224","Census Tract 1224, St. Louis City, Missouri","G2905100122400","2905100122400","50",0.3980248952054,"29510122400","29","510","122400",4892
"Census Tract 1231","Census Tract 1231, St. Louis City, Missouri","G2905100123100","2905100123100","50",0.39546677426831,"29510123100","29","510","123100",4400
"Census Tract 1232","Census Tract 1232, St. Louis City, Missouri","G2905100123200","2905100123200","50",0.43108974641238,"29510123200","29","510","123200",2864
"Census Tract 1233","Census Tract 1233, St. Louis City, Missouri","G2905100123300","2905100123300","50",0.35212603097818,"29510123300","29","510","123300",3672
"Census Tract 1234","Census Tract 1234, St. Louis City, Missouri","G2905100123400","2905100123400","50",0.44868200748419,"29510123400","29","510","123400",2436
"Census Tract 1235","Census Tract 1235, St. Louis City, Missouri","G2905100123500","2905100123500","50",1.01669704183931,"29510123500","29","510","123500",0
"Census Tract 1241","Census Tract 1241, St. Louis City, Missouri","G2905100124100","2905100124100","50",0.41048580664565,"29510124100","29","510","124100",6287
"Census Tract 1242","Census Tract 1242, St. Louis City, Missouri","G2905100124200","2905100124200","50",0.30601378838221,"29510124200","29","510","124200",4526
"Census Tract 1243","Census Tract 1243, St. Louis City, Missouri","G2905100124300","2905100124300","50",0.45143404577714,"29510124300","29","510","124300",5209
"Census Tract 1246","Census Tract 1246, St. Louis City, Missouri","G2905100124600","2905100124600","50",1.06820947408828,"29510124600","29","510","124600",2561
"Census Tract 1255","Census Tract 1255, St. Louis City, Missouri","G2905100125500","2905100125500","50",0.41741649426027,"29510125500","29","510","125500",2323
"Census Tract 1256","Census Tract 1256, St. Louis City, Missouri","G2905100125600","2905100125600","50",0.97215112378797,"29510125600","29","510","125600",1127
"Census Tract 1257","Census Tract 1257, St. Louis City, Missouri","G2905100125700","2905100125700","50",0.57725145308794,"29510125700","29","510","125700",3340
"Census Tract 1266","Census Tract 1266, St. Louis City, Missouri","G2905100126600","2905100126600","50",1.44834232553021,"29510126600","29","510","126600",4620
"Census Tract 1267","Census Tract 1267, St. Louis City, Missouri","G2905100126700","2905100126700","50",1.03179348146853,"29510126700","29","510","126700",3205
