year,countyID,tractID,white,black,other
1960,510,1A,3622,0,0
1960,510,1B,4164,1,0
1960,510,1C,5890,0,0
1960,510,1D,4649,209,3
1960,510,1E,4728,2,4
1960,510,1F,2007,79,0
1960,510,1G,4965,102,6
1960,510,2A,3663,1,0
1960,510,2B,8759,2,18
1960,510,2C,2977,0,1
1960,510,2D,3320,5,0
1960,510,2E,2685,0,0
1960,510,3A,4326,1,2
1960,510,3B,5438,0,2
1960,510,3C,1326,1,0
1960,510,3D,3599,0,4
1960,510,3E,1584,0,1
1960,510,3F,2041,0,3
1960,510,3G,4143,1,18
1960,510,4A,4686,0,13
1960,510,4B,5822,15,21
1960,510,4C,3621,46,32
1960,510,4D,556,0,3
1960,510,5A,4421,22,17
1960,510,5B,6167,33,47
1960,510,5C,5458,2144,35
1960,510,5D,2744,4678,19
1960,510,5E,2244,8839,38
1960,510,6A,2034,8925,10
1960,510,6B,2394,4167,12
1960,510,6C,2950,4874,9
1960,510,6D,2258,4285,8
1960,510,6E,1594,6514,55
1960,510,6F,967,6555,9
1960,510,6G,738,7514,18
1960,510,7A,988,10,0
1960,510,7B,3258,0,0
1960,510,7C,6613,6,6
1960,510,7D,6022,3,8
1960,510,7E,5131,1,4
1960,510,7F,3290,224,0
1960,510,7G,3972,2366,1
1960,510,8A,4487,0,9
1960,510,8B,2940,0,2
1960,510,8C,3074,1,0
1960,510,8D,1122,2,0
1960,510,8E,1307,86,0
1960,510,8F,147,0,0
1960,510,9A,5934,6,2
1960,510,9B,670,40,0
1960,510,9C,4416,16,2
1960,510,9D,3124,4,0
1960,510,9E,3951,1,2
1960,510,10A,2488,5483,7
1960,510,10B,5454,979,3
1960,510,10C,985,7008,10
1960,510,10D,3173,3409,9
1960,510,10E,5891,12,2
1960,510,11A,37,12111,11
1960,510,11B,153,9365,28
1960,510,11C,46,8946,33
1960,510,11D,362,9212,13
1960,510,11E,839,7715,2
1960,510,12A,8115,107,55
1960,510,12B,1777,6062,33
1960,510,12C,653,7256,11
1960,510,12D,5709,1475,58
1960,510,13A,8259,802,12
1960,510,13B,3345,0,2
1960,510,13C,1928,8,0
1960,510,13D,1684,0,6
1960,510,14A,11984,9,10
1960,510,14B,7312,1,13
1960,510,14C,7819,1,4
1960,510,15A,4645,2,0
1960,510,15B,3518,1,3
1960,510,15C,6351,9,7
1960,510,15D,4239,3,1
1960,510,15E,8329,2,1
1960,510,15F,7832,270,4
1960,510,15G,5641,2,1
1960,510,16A,4511,0,6
1960,510,16B,7806,1,4
1960,510,16C,9227,19,5
1960,510,16D,7427,12,24
1960,510,16E,6991,11,7
1960,510,17A,3915,6,0
1960,510,17B,13443,7,16
1960,510,17C,9198,12,43
1960,510,17D,8306,23,9
1960,510,18A,5204,66,3
1960,510,18B,6423,204,16
1960,510,18C,993,181,14
1960,510,18D,25,234,0
1960,510,18E,1965,3660,24
1960,510,19A,9032,145,93
1960,510,19B,2439,4999,81
1960,510,19C,5193,2230,38
1960,510,20A,1411,4848,1
1960,510,20B,4815,20,6
1960,510,20C,10031,1076,7
1960,510,21A,573,4345,8
1960,510,21B,252,10973,23
1960,510,21C,112,20715,6
1960,510,21D,380,2000,8
1960,510,22A,1520,4536,7
1960,510,22B,151,984,0
1960,510,22C,247,74,0
1960,510,22D,6611,1275,111
1960,510,23A,11210,3,20
1960,510,23B,9367,603,66
1960,510,23C,8775,1,12
1960,510,23D,12610,108,31
1960,510,23E,2415,357,24
1960,510,24A,9049,2,44
1960,510,24B,7039,1,5
1960,510,24C,10500,1,9
1960,510,24D,1491,0,5
1960,510,24E,3194,13,2
1960,510,25A,587,520,4
1960,510,25B,2276,7562,47
1960,510,25C,1542,13,16
1960,510,25D,543,18,0
1960,510,26A,9051,291,4
1960,510,26B,2048,183,1
1960,510,26C,5245,6,6
1960,510,26D,3492,2,3
1960,510,26E,3777,5,3
