Geo_Name,Geo_QName,Geo_SUMLEV,Geo_FIPS,Geo_state,Geo_county,SE_T001_001
"15E","Census Tract 15E, St Louis City County, Missouri","140","2951001505000","29","510",9469
"15F","Census Tract 15F, St Louis City County, Missouri","140","2951001506000","29","510",8379
"15G","Census Tract 15G, St Louis City County, Missouri","140","2951001507000","29","510",6331
"16A","Census Tract 16A, St Louis City County, Missouri","140","2951001601000","29","510",4164
"16B","Census Tract 16B, St Louis City County, Missouri","140","2951001602000","29","510",8275
"16C","Census Tract 16C, St Louis City County, Missouri","140","2951001603000","29","510",9883
"16D","Census Tract 16D, St Louis City County, Missouri","140","2951001604000","29","510",8847
"16E","Census Tract 16E, St Louis City County, Missouri","140","2951001605000","29","510",8097
"17A","Census Tract 17A, St Louis City County, Missouri","140","2951001701000","29","510",4175
"17B","Census Tract 17B, St Louis City County, Missouri","140","2951001702000","29","510",14429
"17C","Census Tract 17C, St Louis City County, Missouri","140","2951001703000","29","510",10056
"17D","Census Tract 17D, St Louis City County, Missouri","140","2951001704000","29","510",8489
"18A","Census Tract 18A, St Louis City County, Missouri","140","2951001801000","29","510",6868
"18B","Census Tract 18B, St Louis City County, Missouri","140","2951001802000","29","510",8165
"18C","Census Tract 18C, St Louis City County, Missouri","140","2951001803000","29","510",1928
"18D","Census Tract 18D, St Louis City County, Missouri","140","2951001804000","29","510",4287
"18E","Census Tract 18E, St Louis City County, Missouri","140","2951001805000","29","510",6820
"19A","Census Tract 19A, St Louis City County, Missouri","140","2951001901000","29","510",10267
"19B","Census Tract 19B, St Louis City County, Missouri","140","2951001902000","29","510",8236
"19C","Census Tract 19C, St Louis City County, Missouri","140","2951001903000","29","510",8831
"20A","Census Tract 20A, St Louis City County, Missouri","140","2951002001000","29","510",7273
"20B","Census Tract 20B, St Louis City County, Missouri","140","2951002002000","29","510",5604
"20C","Census Tract 20C, St Louis City County, Missouri","140","2951002003000","29","510",13114
"21A","Census Tract 21A, St Louis City County, Missouri","140","2951002101000","29","510",10341
"21B","Census Tract 21B, St Louis City County, Missouri","140","2951002102000","29","510",12015
"21C","Census Tract 21C, St Louis City County, Missouri","140","2951002103000","29","510",14874
"21D","Census Tract 21D, St Louis City County, Missouri","140","2951002104000","29","510",6554
"22A","Census Tract 22A, St Louis City County, Missouri","140","2951002201000","29","510",10036
"22B","Census Tract 22B, St Louis City County, Missouri","140","2951002202000","29","510",5799
"22C","Census Tract 22C, St Louis City County, Missouri","140","2951002203000","29","510",972
"22D","Census Tract 22D, St Louis City County, Missouri","140","2951002204000","29","510",9578
"23A","Census Tract 23A, St Louis City County, Missouri","140","2951002301000","29","510",12475
"23B","Census Tract 23B, St Louis City County, Missouri","140","2951002302000","29","510",11355
"23C","Census Tract 23C, St Louis City County, Missouri","140","2951002303000","29","510",9923
"23D","Census Tract 23D, St Louis City County, Missouri","140","2951002304000","29","510",17865
"23E","Census Tract 23E, St Louis City County, Missouri","140","2951002305000","29","510",8050
"24A","Census Tract 24A, St Louis City County, Missouri","140","2951002401000","29","510",10453
"24B","Census Tract 24B, St Louis City County, Missouri","140","2951002402000","29","510",7981
"24C","Census Tract 24C, St Louis City County, Missouri","140","2951002403000","29","510",11296
"24D","Census Tract 24D, St Louis City County, Missouri","140","2951002404000","29","510",2538
"24E","Census Tract 24E, St Louis City County, Missouri","140","2951002405000","29","510",3595
"25A","Census Tract 25A, St Louis City County, Missouri","140","2951002501000","29","510",2891
"25B","Census Tract 25B, St Louis City County, Missouri","140","2951002502000","29","510",10939
"25C","Census Tract 25C, St Louis City County, Missouri","140","2951002503000","29","510",3165
"25D","Census Tract 25D, St Louis City County, Missouri","140","2951002504000","29","510",1055
"26A","Census Tract 26A, St Louis City County, Missouri","140","2951002601000","29","510",11689
"26B","Census Tract 26B, St Louis City County, Missouri","140","2951002602000","29","510",4303
"26C","Census Tract 26C, St Louis City County, Missouri","140","2951002603000","29","510",7267
"26D","Census Tract 26D, St Louis City County, Missouri","140","2951002604000","29","510",5535
"26E","Census Tract 26E, St Louis City County, Missouri","140","2951002605000","29","510",4822
